slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish,cross_listed
bf-almost-christmas-2020,Almost Christmas,2020,2020s,Holiday Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-alpha-the-right-to-kill-2019,Alpha: The Right to Kill,2019,2010s,Crime Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-american-summer-2019,American Summer,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-american-the-bill-hicks-story-2019,American: The Bill Hicks Story,2019,2010s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-anchors-up-2019,Anchors Up,2019,2010s,Family Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-apartment-1br-2020,Apartment 1BR,2020,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-ashes-2012,Ashes,2012,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-assimilate-2019,Assimilate,2019,2010s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-awaydays-2009,Awaydays,2009,2000s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-banksy-most-wanted-2021,Banksy Most Wanted,2021,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-barbarians-2021,Barbarians,2021,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-beast-beast-2021,Beast Beast,2021,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-beasts-clawing-at-straws-2021,Beasts Clawing at Straws,2021,2020s,Crime Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-becks-2019,Becks,2019,2010s,Musical,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-behold-my-heart-2020,Behold My Heart,2020,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-best-birthday-ever-2023,Best Birthday Ever,2023,2020s,Family Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-better-start-running-2019,Better Start Running,2019,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-birdeater-2024,Birdeater,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-bloodline-2019,Bloodline,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-body-at-brighton-rock-2019,Body at Brighton Rock,2019,2010s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-book-of-monsters-2019,Book of Monsters,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-brain-freeze-2021,Brain Freeze,2021,2020s,Comedy Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-brief-history-of-a-family-2024,Brief History of a Family,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-bullet-boy-2025,Bullet Boy,2025,2020s,Crime Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-butt-boy-2020,Butt Boy,2020,2020s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-calvaire-2023,Calvaire,2023,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-castle-freak-2020,Castle Freak,2020,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-caught-2019,Caught,2019,2010s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-charisma-2000,Charisma,2000,2000s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-charli-xcx-alone-together-2022,Charli XCX: Alone Together,2022,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-charming-2019,Charming,2019,2010s,Family Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-cloud-2024,Cloud,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-cockneys-vs-zombies-2012,Cockneys vs Zombies,2012,2010s,Horror Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-cold-wallet-2024,Cold Wallet,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-concrete-utopia-2024,Concrete Utopia,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-cowboys-2021,Cowboys,2021,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-dachra-curse-of-the-witch-2019,Dachra: Curse of the Witch,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-dark-minds-2019,Dark Minds,2019,2010s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-dead-man-s-shoes-2004,Dead Man's Shoes,2004,2000s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-death-of-a-ladies-man-2022,Death of a Ladies' Man,2022,2020s,Comedy Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-deceit-2019,Deceit,2019,2010s,Drama Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-demon-hole-2019,Demon Hole,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-depraved-2019,Depraved,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-descendent-2026,Descendent,2026,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-dirt-music-2021,Dirt Music,2021,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-dobermann-2022,Dobermann,2022,2020s,Action Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-drunk-bus-2021,Drunk Bus,2021,2020s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-drunk-on-love-2019,Drunk on Love,2019,2010s,Romance Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-else-2026,Else,2026,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-elvis-and-anabelle-2019,Elvis and Anabelle,2019,2010s,Romance,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-end-of-sentence-2021,End of Sentence,2021,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-euphoria-2019,Euphoria,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-exit-plan-2020,Exit Plan,2020,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-f-2010,F,2010,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-five-fingers-for-marseilles-2019,Five Fingers for Marseilles,2019,2010s,Western Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-foster-2011,Foster,2011,2010s,Family Comedy Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-founders-day-2023,Founders Day,2023,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-frances-ha-2012,Frances Ha,2012,2010s,Comedy Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-ghost-killer-2026,Ghost Killer,2026,2020s,Action Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-god-help-the-girl-2012,God Help the Girl,2012,2010s,Drama Musical,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-good-boy-2023,Good Boy,2023,2020s,Thriller Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-halloween-island-2019,Halloween Island,2019,2010s,Family Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-he-dreams-of-giants-2021,He Dreams of Giants,2021,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-he-s-watching-2022,He's Watching,2022,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-head-count-2018,Head Count,2018,2010s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-helmut-newton-the-bad-and-the-beautiful-2020,Helmut Newton: The Bad and the Beautiful,2020,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-her-way-2022,Her Way,2022,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-home-sweet-home-where-evil-lives-2024,Home Sweet Home: Where Evil Lives,2024,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-homebound-2021,Homebound,2021,2020s,Horror Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-honour-2022,Honour,2022,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-hostile-dimensions-2024,Hostile Dimensions,2024,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-house-of-cardin-2021,House of Cardin,2021,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-how-about-you-2007,How About You,2007,2000s,Holiday,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-how-to-deter-a-robber-2021,How to Deter a Robber,2021,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-hyena-2014,Hyena,2014,2010s,Crime Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-i-blame-society-2021,I Blame Society,2021,2020s,Comedy Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-in-flames-2024,In Flames,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-infinitum-subject-unknown-2021,Infinitum: Subject Unknown,2021,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-interstate-2024,Interstate,2024,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-it-is-in-us-all-2022,It Is in Us All,2022,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-jimmy-and-stiggs-2026,Jimmy and Stiggs,2026,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-kill-ben-lyk-2020,Kill Ben Lyk,2020,2020s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-killer-instinct-2020,Killer Instinct,2020,2020s,Horror Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-last-straw-2024,Last Straw,2024,2020s,Horror Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-life-with-music-2020,Life with Music,2020,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-little-jaffna-2024,Little Jaffna,2024,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-lords-of-anarchy-2019,Lords of Anarchy,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-lost-at-christmas-2020,Lost at Christmas,2020,2020s,Romantic Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-lost-in-la-mancha-2022,Lost in La Mancha,2022,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-love-after-love-2019,Love After Love,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-lovely-dark-and-deep-2024,"Lovely, Dark and Deep",2024,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mad-heidi-2023,Mad Heidi,2023,2020s,Action Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mafia-inc-2020,Mafia Inc,2020,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-making-monsters-2020,Making Monsters,2020,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-meanwhile-on-earth-2024,Meanwhile on Earth,2024,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-meek-s-cutoff-2010,Meek's Cutoff,2010,2010s,Western,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mercy-black-2019,Mercy Black,2019,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mom-2024,Mom,2024,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-monolith-2022,Monolith,2022,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mope-2021,Mope,2021,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-mother-and-child-2009,Mother and Child,2009,2000s,Romantic Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-my-awkward-sexual-adventure-2012,My Awkward Sexual Adventure,2012,2010s,Romantic Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-my-father-s-secrets-2022,My Father's Secrets,2022,2020s,Drama Animation,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-national-anthem-2024,National Anthem,2024,2020s,Romance Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-next-exit-2023,Next Exit,2023,2020s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-no-looking-back-2022,No Looking Back,2022,2020s,Action Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-number-37-2019,Number 37,2019,2010s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-oh-canada-2026,"Oh, Canada",2026,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-olympic-dreams-2020,Olympic Dreams,2020,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-once-upon-a-time-in-uganda-2021,Once Upon a Time in Uganda,2021,2020s,Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-one-way-to-denmark-2020,One Way to Denmark,2020,2020s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-ophelia-2019,Ophelia,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-over-your-dead-body-2014,Over Your Dead Body,2014,2010s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-papillon-1973,Papillon,1973,1970s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-perfect-2019,Perfect,2019,2010s,Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-peripheral-2020,Peripheral,2020,2020s,Horror Sci-Fi,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-piranhas-2020,Piranhas,2020,2020s,Crime Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-porno-2020,Porno,2020,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-pusher-2020,Pusher,2020,2020s,Crime Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-redux-redux-2026,Redux Redux,2026,2020s,Action Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-rescue-dawn-2007,Rescue Dawn,2007,2000s,War Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-resistance-2018,Resistance,2018,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-retreat-2011,Retreat,2011,2010s,Horror Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-rhino-2022,Rhino,2022,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-road-games-2011,Road Games,2011,2010s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-saturday-church-2019,Saturday Church,2019,2010s,Musical,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-see-you-then-2022,See You Then,2022,2020s,Drama LGBTQ+,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-seymour-an-introduction-2022,Seymour: An Introduction,2022,2020s,Music Documentary,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-she-came-from-the-woods-2023,She Came from the Woods,2023,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-she-dies-tomorrow-2020,She Dies Tomorrow,2020,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-siberian-education-2013,Siberian Education,2013,2010s,Crime Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-small-slow-but-steady-2022,"Small, Slow, But Steady",2022,2020s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-so-cold-the-river-2022,So Cold the River,2022,2020s,Thriller Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-submission-2019,Submission,2019,2010s,Drama,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-sukiyaki-western-django-2007,Sukiyaki Western Django,2007,2000s,Western,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-swallow-2020,Swallow,2020,2020s,Thriller,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-swallowed-2023,Swallowed,2023,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-swinging-with-the-finkels-2011,Swinging with the Finkels,2011,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
bf-sword-of-trust-2019,Sword of Trust,2019,2010s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-take-down-2022,Take Down,2022,2020s,Action,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-the-baker-2007,The Baker,2007,2000s,Comedy,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
bf-the-banished-2024,The Banished,2024,2020s,Horror,,,,Represented,"Represented by Blue Finch Film Releasing. Availability, territory, and terms are confirmed per inquiry.",,,yes,
