slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish,cross_listed
sc-dragonkeeper,Dragonkeeper,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-emelie,Emelie,,,Thriller,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-f,F,,,Horror,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-fe-rless,Fe@rless,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-finding-mojo,Finding Mojo,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-first-night,First Night,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-foster,Foster,,,Family Comedy Drama,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-fujiko,Fujiko,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-gamba,Gamba,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-garfield-s-pet-force,Garfield's Pet Force,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-gensan-punch,Gensan Punch,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-get-squirrely,Get Squirrely,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-getting-lost,Getting Lost,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-ghost-machine,Ghost Machine,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-girl-in-the-clouds,Girl in the Clouds,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-gnome-alone,Gnome Alone,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-green-street-3,Green Street 3,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-grow,Grow,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-halloween-island,Halloween Island,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-he-loves-me-not,He Loves Me Not,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-headspace,Headspace,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-i-am-soldier,I Am Soldier,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-jungle-beat-2-the-past,Jungle Beat 2 The Past,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-jungle-shuffle,Jungle Shuffle,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-leap-of-faith,Leap of Faith,,,Live Action Documentary,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-little-bone-lodge,Little Bone Lodge,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-marmaduke,Marmaduke,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-melati,Melati,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-monkey-king-the-hero,Monkey King – The Hero,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-monster-island-aka-orang-ikan,Monster Island (aka Orang Ikan),,,Horror,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-my-father-s-secrets,My Father's Secrets,,,Drama Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-neighborhood-pet-watch,Neighborhood Pet Watch,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-not-another-not-another-movie,Not Another Not Another Movie,,,Comedy,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-olympic-dreams-2020,Olympic Dreams,2020,2020s,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-on-fire,On Fire,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-outback,Outback,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-ozzy,Ozzy,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-pachamama,Pachamama,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-poupelle-of-chimney-town,Poupelle of Chimney Town,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-realive,Realive,,,Sci-Fi,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-red-mist,Red Mist,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-retreat,Retreat,,,Horror Thriller,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-road-games,Road Games,,,Thriller,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-spiral,Spiral,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-starfish,Starfish,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-swinging-with-the-finkels,Swinging with the Finkels,,,Comedy,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-the-boxcar-children,The Boxcar Children,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-dust-walker,The Dust Walker,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-fold,The Fold,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-last-showing,The Last Showing,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-legend-of-king-solomon,The Legend of King Solomon,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-reef-high-tide,The Reef: High Tide,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-ritual-room,The Ritual Room,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-the-romantics,The Romantics,,,Romantic Comedy,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-the-way-my-way,"The Way, My Way",,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-tower-block,Tower Block,,,Thriller,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-trouble,Trouble,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-uninhabited,Uninhabited,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-when-the-lights-went-out,When the Lights Went Out,,,Horror,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,yes
sc-white-fang,White Fang,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-wild-cherry,Wild Cherry,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-wild-fire-rescue,Wild Fire Rescue,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-winter-s-dream,Winter's Dream,,,Live Action,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-yellowbird,Yellowbird,,,Family Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
sc-zsazsa-zaturnnah,ZsaZsa Zaturnnah,,,Animation,,,,Represented,"Represented by SC Films International. Availability, territory, and terms are confirmed per inquiry.",,,yes,
