slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish
come-drink-with-me-1966,Come Drink with Me,1966,1960s,Action; Crime,Chinese,90,"Bandits kidnap a governor's son and demand their imprisoned leader to be set free in exchange. The governor's daughter, a skilled martial artist, is sent to rescue him, but eventually finds herself overmatched and in need of assistance.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
cowboy-and-the-senorita-1944,Cowboy And The Senorita,1944,1940s,Western; Musical,,,Roy Rogers helps a young woman searching for her missing father uncover a silver-mine swindle in a frontier town.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
dawn-rider-1935,Dawn Rider,1935,1930s,Western,,,"A cowboy hunts the outlaws who murdered his father and robbed a stagecoach, only to fall for the sister of one of the men he's tracking.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
der-leone-have-sept-cabe-as-1970,Der Leone Have Sept Cabeças,1970,1970s,Drama,,,"A Latin-American insurgent and a black leader join forces to free an African nation. But they'll have to face a German mercenary aided by an American agent and a Portuguese advisor, all working for a mysterious woman.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
desert-trail-1935,Desert Trail,1935,1930s,Western,,,A rodeo champion wrongly accused of robbery teams up with his sidekick to clear his name and catch the real thief.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
dona-flor-and-her-two-husbands-1976,Dona Flor and Her Two Husbands,1976,1970s,Comedy; Fantasy; Romance,,110,"In a small city of Brazil, a woman named Flor marries a man named Vadinho, but once married she finds that he is a good-for-nothing. She works teaching cooking and he takes all of her money to gamble. After Vadinho dies, Flor marries Tedoror, the owner of a drugstore. Flor is happy with her new husband but misses the love life with her previous husband. When one day the ghost of Vadhino comes back to pursue her.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
dragon-inn-1967,Dragon Inn,1967,1960s,Action; Adventure,Chinese,111,"When the children of an executed General are pursued in 1457 China, some heroic martial arts swordsmen intervene.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
dream-2008,Dream,2008,2000s,Drama; Fantasy; Mystery,,95,"In the aftermath of a car crash, a man discovers his dreams are tied to a stranger's sleepwalking.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
drunken-angel-1948,Drunken Angel,1948,1940s,Crime; Drama; Romance,Japanese,98,A drunken doctor with a hot temper and a violence-prone gangster with tuberculosis form a quicksilver bond.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
edward-ii-1991,Edward II,1991,1990s,Drama; History; Romance,,87,"In this Derek Jarman version of Christopher Marlowe's Elizabethan drama, in modern costumes and settings, Plantagenet king Edward II hands the power-craving nobility the perfect excuse by taking as lover besides his diplomatic wife, the French princess Isabel, not an acceptable lady at court but the ambitious Piers Gaveston, who uses his favor in bed even to wield political influence - the stage is set for a palace revolt which sends the gay pair from the throne to a terminal torture dungeon.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
el-mural-2010,El mural,2010,2010s,Biography; Drama,Spanish,111,"While in Argentina, renowned Mexican muralist David Siqueiros paints the mural ""Ejercicio plástico"" at the country home of newspaper owner Natalio Botana. Set in the 1930's, this lovely historical reconstruction serves as a testament to the creation of a masterpiece, while depicting the controversial private and public events that shaped its materialization. A complex storyline which includes Argentina history, romance, drama and much more. A story of ethics, infidelity, love and hate around the renowned David Siqueiros, no one is innocent here; everybody shows weakness and values as well, there is no black and white. There are multiple tones, as in a Siqueiros painting.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
escape-from-sobibor-1987,Escape from Sobibor,1987,1980s,Drama; War,,,"Jewish prisoners at the Sobibor extermination camp secretly plan and carry out a mass uprising and breakout, based on the true story.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Made for television,yes
father-of-the-bride-1950,Father of the Bride,1950,1950s,Comedy,,,A suburban father is thrown into a spiral of stress and expense as he tries to survive planning and paying for his daughter's wedding.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
flame-of-my-love-1949,Flame of My Love,1949,1940s,Drama; Romance,,,"A woman's struggle for equality in Japan in the 1880s. Eiko Hirayama leaves Okayama for Tokyo, where she helps the fledgling Liberal Party and falls in love with its leader Kentaro Omoi, just as the party is being disbanded by the government. Eiko and Omoi are jailed because of a fire at a factory instigated by Chiyo, a servant girl from Eiko's home in Okayama, who was sold to slavery. A few years later the 1889 constitution is proclaimed, Eiko, Omoi, and Chiyo are pardoned, and the Liberal Party is reinaugurated. However Omoi does not campaign for women's rights.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
foreign-correspondent-1940,Foreign Correspondent,1940,1940s,Thriller; War,,,An American reporter sent to Europe on the eve of WWII stumbles onto a spy ring and a plot that could change the course of the war.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by Hitchcock,yes
four-nights-of-a-dreamer-1971,Four Nights of a Dreamer,1971,1970s,Drama; Romance,,87,"The 'dreamer' is Jacques, a young painter, who by chance runs into Marthe as she's contemplating suicide on the Pont-Neuf in Paris. They talk, and agree to see each other again the next night. Gradually, he discovers that her lover promised to meet her on the bridge that night, and he failed to turn up. Over the next couple of nights, Jacques falls in love with her - but on the fourth night her original lover returns...",Available,No current licence on this title. Available across all platforms and territories.,,,yes
frontier-horizon-1939,Frontier Horizon,1939,1930s,Western,,,The Three Mesquiteers uncover a corrupt scheme to condemn a settlers' town for a dam project the promoters never intend to finish honestly.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
glamour-2011,Glamour,2011,2010s,Documentary,,,"What is Glamour ? Through interviews with creative specialists, Deborah Landis costume academy winner, film critic Dominique Paini and Stephen Gundle author of an extensive book entitled « Glamour », Galeshka Moravioff demonstrates how an aesthetic approach of Modern Entertainment has been conceived and exploited between the late 1920's throughout the 1950's. It shows how the great costumes designers, Jean Louis, Travilla, Adrian and Edith Head were a major influence on the fashion industry of the mid late 20th century up to today. Movie clips of all the major stars of this golden era features : Marylin Monroe, Rita Hayworth, Greta Garbo , Kim Novak, Gene Tierney, Lana Turner, Ava Gardner, Joan Crawford ,Katherine Hepburn, Jane Russel... in memorable scenes dressed in breathtaking iconic gowns.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
goopy-gyne-bagha-byne-1969,Goopy Gyne Bagha Byne,1969,1960s,Adventure; Comedy; Family,,,"Goopy wants to sing, and Bagha wants to play the dhol. They meet accidentally and are helped by King of Ghosts. With newly endowed abilities, they land in kingdom of Shundi, where their adventure begins.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
grizzly-1976,Grizzly,1976,1970s,Adventure; Horror; Thriller,English,91,"An eighteen-foot-tall grizzly bear terrorizes a state park, leaving it up to a Park Ranger to save the day.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
hands-across-the-border-1944,Hands Across The Border,1944,1940s,Western; Musical,,,Roy Rogers investigates a series of horse thefts and a hidden scheme threatening a ranch near the Mexican border.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
hellzapoppin-1941,Hellzapoppin',1941,1940s,Action; Comedy; Musical,,84,"Olsen and Johnson, a pair of stage comedians, try to turn their play into a movie and bring together a young couple in love, while breaking the fourth wall every step of the way.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
home-in-oklahoma-1946,Home In Oklahoma,1946,1940s,Western; Musical,,,"Roy Rogers, working as a newspaper editor, investigates a murder tied to a land inheritance and a buried fortune.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
hondo-1953,Hondo,1953,1950s,Drama; Romance; War,English,84,Army dispatch rider Hondo Lane discovers a woman and young son living in the midst of warring Apaches and becomes their protector.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
house-of-usher-1960,House of Usher,1960,1960s,Drama; Horror,English,79,"Upon entering his fiancée's family mansion, a man discovers a savage family curse and fears that his future brother-in-law has entombed his bride-to-be prematurely.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
hurry-sundown-1967,Hurry Sundown,1967,1960s,Drama,English,142,"Drama of a ruthless Southern opportunist who tries to buy his cousin's land, and when thwarted, brings several tragedies to the lives of his loved ones.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
i-vitelloni-1953,I Vitelloni,1953,1950s,Comedy; Drama,Italian,108,A character study of five young men at crucial turning points in their lives in a small town in Italy.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
idaho-1943,Idaho,1943,1940s,Western; Musical,,,Roy Rogers helps a young woman and a general store owner fend off a corrupt landgrabber threatening their town.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
ikiru-1952,Ikiru,1952,1950s,Drama,Japanese,143,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
in-the-year-2889-1967,In The Year 2889,1967,1960s,Sci-Fi; Horror,,,Survivors of a nuclear war holed up in a remote valley must fend off radiation-mutated cannibals as tensions rise within their own group.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Made for television,yes
it-happened-tomorrow-1944,It Happened Tomorrow,1944,1940s,Fantasy; Comedy,,,A newspaperman granted the bizarre gift of receiving tomorrow's paper today uses it to get ahead — until the headlines start predicting his own death.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
ivan-the-terrible-part-i-1944,"Ivan the Terrible, Part I",1944,1940s,Biography; Drama; History,Russian,95,"During the early part of his reign, Ivan the Terrible faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
ivan-s-childhood-1962,Ivan's Childhood,1962,1960s,Drama; War,Russian,95,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
kansas-pacific-1953,Kansas Pacific,1953,1950s,Western,,,A Union Army engineer races to complete a vital railroad line before Confederate saboteurs can destroy it on the eve of the Civil War.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
kentucky-rifle-1955,Kentucky Rifle,1955,1950s,Western,,,Settlers stranded in the desert after their wagon breaks down must fend off outlaws and hostile raiders while guarding a shipment of rifles.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
kiss-tomorrow-goodbye-1950,Kiss Tomorrow Goodbye,1950,1950s,Crime; Film-Noir,,,"A ruthless ex-convict claws his way up through the criminal underworld after a prison break, betraying everyone in his path.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
knock-on-wood-1954,Knock on Wood,1954,1950s,Comedy,English,103,"Discovering that a ventriloquist is travelling to Zurich, a spy ring hides secret plans in his dummies' heads. When a second spy ring learns of the plans, they descend upon the ventriloquist, causing city-wide pandemonium.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
krug-vtoroy-1990,Krug vtoroy,1990,1990s,Drama,Russian,,A man tries to come to terms with his father's death and to deal with the mundane details of his burial in a society cut off from spirituality.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
life-with-father-1947,Life With Father,1947,1940s,Comedy,,,"In 1880s New York, a strong-willed but loving patriarch clashes with his wife and sons over everything from finances to his own unbaptized status.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
lights-of-old-santa-fe-1944,Lights of Old Santa Fe,1944,1940s,Western; Musical,,,Roy Rogers helps a young woman modernize her late father's failing rodeo business against a rival trying to run her out.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
lisa-and-the-devil-1973,Lisa and the Devil,1973,1970s,Horror,,,"A tourist who gets lost in a Spanish city and wanders into a decaying mansion finds herself trapped with a mysterious, devilish manservant and the family he serves.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
lone-ranger-1956,Lone Ranger,1956,1950s,Western,,,The masked lawman and Tonto uncover a scheme by a corrupt landowner to trigger an Indian war and seize a mountain rich in silver.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
m-1931,M,1931,1930s,Thriller; Crime,,,A German city descends into panic as police and the criminal underworld both race to catch a child murderer terrorizing the streets.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by Fritz Lang,yes
machine-gun-kelly-1958,Machine-Gun Kelly,1958,1950s,Action; Biography,English,83,"The criminal exploits of Public Enemy number 1, George 'Machine-Gun' Kelly, during the 1930s.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
man-hunt-1941,Man Hunt,1941,1940s,Thriller; War,,,"A British big-game hunter who takes a symbolic pot-shot at Hitler is captured, tortured, and pursued across Europe by Gestapo agents after his escape.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by Fritz Lang,yes
matador-1986,Matador,1986,1980s,Drama; Thriller,Spanish,106,A matador is wounded by a bull and can no longer kill in the arena. It is just one of the problems of one of the characters that unexpectedly collide in this film.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
mirror-1975,Mirror,1975,1970s,Biography; Drama,Russian,107,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
mohawk-1956,Mohawk,1956,1950s,Western; Romance,,,A Boston artist sent to paint the Iroquois falls for a chief's daughter just as a land-hungry settler schemes to ignite a war between settlers and natives.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
moloch-1999,Moloch,1999,1990s,Drama,,108,"In 1942, in Bavaria, Eva Braun is alone, when Adolf Hitler arrives with Dr. Josef Goebbels and his wife Magda Goebbels and Martin Bormann to spend a couple of days without talking politics.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
murder-1930,Murder!,1930,1930s,Crime; Mystery; Thriller,English,102,"A juror in a murder trial, after voting to convict, has second thoughts and begins to investigate on his own before the execution.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
musashino-fujin-1951,Musashino fujin,1951,1950s,Drama; Romance,,,"Set in post-war Japan, The Lady of Musashino tells the story of Michiko, a disillusioned young woman trapped in a loveless marriage. She confides in her younger cousin, Tsutomo, and the two become close.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
my-winter-journey-2003,My Winter Journey,2003,2000s,Drama,,,"German filmmaker Vincent Dieutre is accompanied by a close friend's teenage son on a trip to Berlin and in the process reminisces about his life as a gay man in his 2003 autobiographical documentary entitled Mon Voyage d'Hiver (My Voyage in Winter). Dieutre and his traveling companion, Itvan, visit numerous friends and landmarks, all holding special meaning to the 40-year-old filmmaker as they make their way to the German capital. As the pair grows closer as friends, Dieutre also takes on a paternalistic relationship with the boy as he details his own journey of self discovery -- partially to assist Itvan with his own adult transformation, but also as a means for Dieutre's own legacy to endure.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
no-blade-of-grass-1970,No Blade of Grass,1970,1970s,Drama; Sci-Fi,English,96,"An environmental catastrophe destroys civilization. Led by father John and mother Ann, the Custance clan sets out on a quest for safety in a savage world that may just end up turning them into the very thing they are fleeing.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
obsession-1943,Obsession,1943,1940s,Crime; Drama; Romance,Italian,135,"Gino, a drifter, begins an affair with inn-owner Giovanna, and they plan to get rid of her older husband.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
oliver-twist-1948,Oliver Twist,1948,1940s,Drama,,105,"In Charles Dickens' classic tale, an orphan wends his way from cruel apprenticeship to den of thieves in search of a true home.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
on-the-double-1961,On the Double,1961,1960s,Adventure; Comedy; War,English,92,"At the time of the Invasion of Normandy, an American soldier is asked to impersonate a British General in order to confuse the Nazi spies and assassins in London.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
pather-panchali-1955,Pather Panchali,1955,1950s,Drama,Bengali,125,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
poor-little-rich-girl-1936,Poor Little Rich Girl,1936,1930s,Musical; Comedy,,,"A wealthy but neglected little girl runs away and, mistaken for an orphan, ends up performing in a vaudeville act with two down-on-their-luck entertainers.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
queen-of-outer-space-1958,Queen of Outer Space,1958,1950s,Adventure; Fantasy; Sci-Fi,English,80,"American astronauts are drawn by a mysterious force to the planet Venus, which they find to be inhabited only by beautiful women and their despotic queen.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
rabid-dogs-1974,Rabid Dogs,1974,1970s,Crime; Drama; Thriller,Italian,96,"Following a bungled robbery, three violent criminals take a young woman, a middle-aged man, and a child hostage and force them to drive them outside Rome to help them make a clean escape.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
reign-of-terror-1949,Reign of Terror,1949,1940s,Film-Noir; History,,,"During the French Revolution, an undercover agent races to recover Robespierre's black book of enemies before it can be used to send more people to the guillotine.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
retreat-hell-1952,"Retreat, Hell!",1952,1950s,War; Drama,,,U.S. Marines fight a grueling retreat from the Chosin Reservoir against overwhelming Chinese forces during the Korean War.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
rough-riders-round-up-1939,Rough Riders Round-up,1939,1930s,Western; Musical,,,An ex-Rough Rider turned Border Patrolman (Roy Rogers) breaks up a smuggling ring using a movie production as cover on the US-Mexico border.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
roy-colt-winchester-jack-1970,Roy Colt & Winchester Jack,1970,1970s,Comedy; Western,Italian,85,"Two gunmen, a Native American con-woman and a priest-turned-gangster alternate between fighting and aiding each other over obtaining a treasure map that will lead them to buried gold.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
sansho-the-bailiff-1954,Sansho the Bailiff,1954,1950s,Drama,Japanese,124,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
santa-fe-trail-1940,Santa Fe Trail,1940,1940s,Western; History,,,Army officers including Jeb Stuart and George Custer clash with abolitionist John Brown in the years leading up to the Civil War.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-and-a-study-in-scarlet-1933,Sherlock Holmes and a Study In Scarlet,1933,1930s,Mystery,,,Holmes investigates a secret society whose members are being murdered one by one so the survivors can split a growing fortune.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Part of the Sherlock Holmes series,yes
sherlock-holmes-and-the-pearl-of-death-1944,Sherlock Holmes and the Pearl of Death,1944,1940s,Crime; Drama; Mystery,English,69,"When a valuable pearl with a sinister reputation is stolen, Sherlock Holmes must investigate its link to a series of brutal murders.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-and-the-scarlet-claw-1944,Sherlock Holmes and the Scarlet Claw,1944,1940s,Crime; Mystery; Thriller,English,75,"When a gentlewoman is found dead with her throat torn out, the villagers blame a supernatural monster. But Sherlock Holmes, who gets drawn into the case from nearby Quebec, suspects a human murderer.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-and-the-secret-weapon-1942,Sherlock Holmes And The Secret Weapon,1942,1940s,Mystery; War,,,"Holmes races to protect a Swiss inventor's new bombsight from Professor Moriarty, who's selling it to the Nazis.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Part of the Sherlock Holmes series,yes
